text,x,y
"For those worried about online shopping, your packages are safe!
https://t.co/8shWM1GZ77 #coronavirus #CoronaVirusUpdate #WuhanVirus #pandemic #CoronavirusPandemic #Covid_19 #onlineshopping #shopping https://t.co/NWnq0kbwCR",10.356386,2.8707623
Here are precautions to take whether you shop in-store or online https://t.co/Krqy2PxasI #COVID19 #coronavirus,10.620111,2.6944804
"$UBID .0095 Going 

Shop Online, avoid the stores and the high risk of being infected with the #Coronavirus #pandemic #COVID19 

Auctions, Online Shopping 

Do it the safe way, the Ecommerce way",10.665848,3.1508167
"Free online delivery code for orders over 15 within Ireland, so that visitors to our child development stores can avail of free online delivery instead of shopping instore #COVID2019IRELAND #coronavirus https://t.co/5BwNmF64bb",10.23062,2.7280748
"For More details -  https://t.co/1cz6zgOSw6

#onlineshopping #Shipping #shippingfromindia #coronavirus #internationalshipping https://t.co/ef7zp5hMt5",10.29391,2.6720378
"Online shopping critical for many. But not easy for all and not for all services beyond groceries. If you have #Covid_19 high risk family in the Durham area and need items leaving on a porch, whatever they may be, let me know and we can make it happen. Support each other. 1/2",10.275707,2.7802072
COVID-19 has me shopping online for home delivery. SAVE with Rakuten &amp; earn cash back!!  I love getting Cash Back and think you will too! Join for free and get $10 when you spend $25.  https://t.co/rqvblxbGKA,10.618109,3.16212
"Tulkoff is committed to taking the necessary safety to precautions to limit the spread of COVID-19. Therefore, we have temporarily suspended retail sales via our online store. We apologize for any inconvenience this may cause &amp; will keep you updated on the status of our store. https://t.co/BkAloYzjJg",10.865005,2.6093059
"We're concerned...please help us support our local businesses, many of whom have online shopping platforms. We will get through this!!
#CoronavirusPandemic #coronavirus #COVID2019 #Bellingham #pnw #localbusiness #ShopLocal https://t.co/c7FXyUEJZs",10.325666,2.7714264
I now see why drones would come in handy for online shopping and delivery. #coronavirus,10.409094,3.2445073
"mga adik sa Shopee, Lazada, or online shopping wag muna order ng non important items o kaartehan unless for hygiene, healthcare reasons. prioritize actually important items than vanity and just plain add to cart boredom. #Covid_19 #CoronavirusPandemic #coronavirus",10.244496,3.0162752
Sign of the times Online shopping sites for and have crashed first delivery slot in our area is in over a week s time Could be a real issue for people self isolating in weeks to come unless the supermarkets ramp things up,10.189418,2.7421832
"Online shopping from a great selection at Home &amp; Business Services Store. https://t.co/j8LhpDsXG3
 via @Amazon3PSellers

#Homeoffice #DonaldTrump #coronavirus #COVID?19 #Italy #YouthWithYouEP02 #AmazonFilmfareAwards #woman
#FloridaPrimary https://t.co/0wx0ojPbRk",10.702827,3.2232783
I cant be quarantined! My online shopping is out of hand and Im bouta spend my COVID 19 national emergency fund on summer clothes and places to wear em  ????,10.75409,3.3665872
We understand that will make you reluctant to come out so we will do what we can to make your intrepid shopping easier You can browse shop online If you want free local delivery please just call us  ,10.099163,2.616986
"Coronavirus is hurting store traffic and e-commerce won't help much, analysts say https://t.co/Hz5GmbZMN0 #coronavirus #retail #ecommerce https://t.co/o9o6AxEZSK",10.664647,3.2794626
"During this time try to #shopsmall #shoplocal where possible. 

Even shopping #online you can support #smallbusinesses #familybusiness 

#covid_19 #bekind #helponeanother #letsdothis #supportsmallbusiness https://t.co/c3r1WpSaLW",10.4054985,2.6912735
Ocado down: Online shopping #ap'p and website break as #coronavirus fears lead to panic bu... https://t.co/7TmAssTuCG https://t.co/YYIMPmmv9w,10.6169615,3.114616
We're all about to look fly AF in our houses with all this online shopping we're doing. Like Thanksgiving - but everyday. #coronavirus,10.405423,3.198419
"Anyone else doing some online shopping right now? I've noticed that some of these designers have suddenly made their ""70% off"" sales into ""50% off"" sales *with* free shipping! ? Like ""fuck this price gauging"", y'all! ? #onlineshopping #coronavirus #COVID19 #Covid_19 #COVID19US",10.362908,3.042727
Ppl are waiting in grocery store lines for an hour or longer. ????? Its times like this I wonder why technology like what #Amazon is implementing (no cashiers) isnt the norm by now. ????? #CoronaVirus #iThoughtWeWouldBeLivingLikeTheJetsonsByNow https://t.co/nBxDIf0HjR,9.972638,2.9986007
"Me online shopping, unbothered by the #coronavirus frenzy. #amazonprime https://t.co/y0QSwzqpLM",10.335125,3.2976642
"Happy Saturday? Friends, while we are sanitizing our shipping facility &amp; storefront multiple times daily, we want to strongly encourage you to take your shopping experience with us online to err on the side of safety during this time of the COVID-19 season. @WHO ? https://t.co/zsjZ77vWTk",10.707717,2.6205592
"In Response to Corona &amp;
Canceled Events
""Online shopping has risen since the Covid-19 virus""

Our Unparalleled Response to the Coronavirus Emergency Plan
--Exclusively for our Vendors--
If we can't bring the PEOPLE to us then we will bring US https://t.co/9eRRiAK6eP https://t.co/cHAeczaeH5",10.441666,2.9381626
#Coronavirus We can stop the corona from spreading by prohibiting online shopping.,10.442922,3.3204563
"For those of us whove been avoiding people long before #coronavirus, there oughta be some sort Preferred Customer status when it comes to our online grocery shopping. #MoveToTheFrontOfTheLine",10.248385,2.6707902
"@RichardBarrow Same kind of thing has been going on in South Korea, too. The large stores are losing much business to same day /next day online delivery services. Cheaper prices and more convenient. Plus, with #coronavirus epidemic, few people wanna go sh",10.537777,2.9665945
Quarantine measures imposed by states the world over in the wake of the COVID-19 pandemic have led to a surge in screen time use and online shopping among the masses. https://t.co/nlRZMWLu1s https://t.co/4UQ7Iecozo,10.834824,3.2898698
"This virus just damaging my bank account the most, all this sitting at home has me online shopping out of boredom, better home my amazon guy is washing his hands or im gonna have a 50pcs box of kitkats, a ballgown ill never wear and COVID:19",10.67302,3.2942293
"For everyone thinking of going shopping this weekend, them shoes can wait, that top can be bought online, please if youre feeling under the weather dont go shopping at big centres because thats how its spreads and puts lives at risks #COVID?19 #StayHome #coronavirus",10.680588,3.3307958
Its so heartbreaking to see this and people struggle. Praying for a better  world. Managed to get most of the stuff for now. Praying for the future. Online shopping for now. Safest way!!!! #coronaUK #COVID19 #CoronaVirusUpdates #coronavirus #Covid19Kindness #tesco https://t.co/thCEOech3y,10.582449,2.8295686
"Now would be a good time for people to tweet their merch. Online shopping because we are bored.

#coronavirus",10.516435,3.1044102
"@uhaul offers free 30day storage, @amazon combats sanitizer prices, @Pornhub offers free premium service. @Sproutfy offers free term to schools. Are you doing your part to help during this period or letting market forces work and increasing your prices? #",10.648129,3.200857
Online shopping.. Delivers to store.. Fkkk #Coronavirus ??,10.336524,2.9679737
"Important point about online shopping during #coronavirus 

Its companies like @AmazonUK avoiding taxes (assisted by @Conservatives ) that helped undermine the #NHS and other public infrastructure.

Try purchase from anyone but Amazon if you can. Support tax paying companies.",10.378211,3.1182604
This online shopping thing may really catch on now. #coronavirus #COVID19 #ecommerce,10.633166,3.2329686
"Please unless you have to shop online right now , dont . Lots of people just like me rely on online shopping because we have medical conditions or disabilities that mean we can not leave our homes. #disabled #coronavirus #onlineshopping #reliant",10.451377,3.1150825
Just made my online order for pickup tomorrow at @Walmart You really think Im gonna go inside and experience the stupidity of Americans shopping!? #ShopSmarterNotHarder #SocialDistancing #COVID19 #Coronavirus,10.559319,2.7001667
"In our continued efforts to combat the spread of the COVID-19 virus, we have instituted more strenuous guidelines to provide a clean and safe retail experience. As always, our website is open 24/7 at https://t.co/f6inwhI8ek, as well as our Buy Online, Pick Up In Store program. https://t.co/ipYeH53a1l",10.882018,2.5947592
My preparation for #coronavirus has basically involved signing up for online shopping.,10.48257,3.2178836
"Avoid long lines and shop online! Plus FREE shipping for Prime members ??
··········
? Cleaning Supplies -&gt; https://t.co/IoQXOwemvS
? Personal Care Products -&gt; https://t.co/iTMviTSHhR
? Beauty Products -&gt; https://t.co/cSjtoBNcgW
··········
#shopping #affiliate #coronavirus https://t.co/PlWqi3VryR",10.1542425,2.731346
"Lots of people are online shopping because of #coronavirus meaning fewer delivery slots available for vulnerable people who have been told to self-isolate.

Delivery companies should be implementing a flagging system to prioritise vulnerable people at this time.",10.291566,3.0991588
only deliver online then no-one can greedily take someone else's order #shopping #coronavirus #greed #panic #stupidity #selfishness,10.312953,2.9607058
This quarantine has really lit a fire to my already problematic online shopping addiction #coronavirus,10.502392,3.228084
"Hi, I'm a mentally ill trans man, who is unable to work due to the virus (I'm a freelance tattoo artist), so I could really use some help with paying my bills. Here are my commission prices, I could really use the help rn
Check @pentoxyverin for examples
#coronavirus #COVID19 https://t.co/9p1P3oxGku",10.744247,2.9064286
Is online shopping safe...shouls you disinfect things you've ordered? #coronavirus,10.254669,3.0237756
Question: Is e-commerce shopping and online grocery delivery a good solution to the #StayAtHome movement or is shipping of packages and group handling of groceries also negatively contributing to the situation? #coronavirus,10.191188,2.72929
"Dont worry, you can still do your shopping - LUE Outdoors has your back! We be online. ??



#coronamemes #coronavirus #meme #tp #joke #onlineshop #onlineshopping #shopping #shopsmallbusiness #outdoor #outdoors https://t.co/OcvIgS2edY",10.349177,3.1740537
Please remember that even if you are shopping mostly online to please particularly at this time If you re not sure if your favorite store delivers give them a call and ask They just might,10.129217,2.6190653
Well I guess theres still online shopping so thank God for that. #cowboyboots #shoppingismycardio #coronavirus https://t.co/rQya1wumMd,10.432637,3.3290217
We ve created a Majestic FAQ to answer some of your key customer queries which you can find online here This is an ever changing situation but you can still enjoy shopping at your Majestic in store or with free home delivery,10.198279,2.7283473
"Somebody plz tell me, is it safe to shop online amid #coronavirus? 
?",10.301734,2.9913383
Could the COVID-19 virus finally push German grocery retailers into offering online shopping? STILL not available even though I'm 4km from the nearest store...,10.338888,3.0341873
Anyone else doing a lot of online shopping? ????? #coronavirus,10.396112,3.1286943
"While we are all #SocialDistancingNow because of the #coronavirus and doing all of our shopping online, why not take a look at https://t.co/wyhYb5SSUO and take advantage of 20% off with this sale until Mar 17? Use code: ARTSY20 at checkout. https://t.co/GO4MXUwMlo",10.708679,3.133332
 Amazon Needs to hire 100 000 people across the to keep up with a crush of orders as spreads amp keeps more people at home shopping online Will temporarily raise pay by 2 an hour through the end of April,9.601859,3.3158436
Due to uncertainty over people are staying at home having an impact on Use in your window to direct customers to your website without them having to go into store DM for info on our digital signage solutions,10.194194,3.1746802
is it safe to do online shopping in this stage of covid-19????? i just want to order makeup ?,10.335847,3.0714915
"@dunnesstores hi,will u be doing online grocery shopping? #CoronavirusOutbreak #coronavirus #Coronavirusireland",10.621949,2.8047636
"Imagine going shopping buying up loads of baby milk and then selling it online for 10x the price... Just imagine how much of an absolute cock you would have to be to even consider doing that ?

People are just vile... #coronavirus",10.349884,3.1716173
"@skdmodelme As COVID-19 has spread, we've recently seen an increase in people shopping online. Some of our delivery promises are longer than usual, but we're working around the clock to ship items as quickly as we're able to. Thank you for your understand",10.1043415,2.6956906
"@ragingrodent Hello, Matt! As COVID-19 has spread, we've recently seen an increase in people shopping online. Some of our delivery promises are longer than usual, but we're working around the clock to ship items as quickly as we're able to. Thank you for ",10.211651,2.6769037
How short sighted @woolworths and @Coles are by suspending their online shopping?? It would have been easier to promote click and collect instead of having customers in store that way controlling stock more and traffic in store. Missed opportunity #COVID?19 #coronavirus,10.237652,2.8998306
"Welp, I guess this is going to be the last @lululemon Fitting Room post for the foreseeable future. THANKS #CORONAVIRUS! ?

Luckily for us, online shopping is still a thing.
https://t.co/aClMBGyHZr",10.443755,3.0860386
"Now more than ever, retailers need to think about connecting their messaging across the board as shopping moves online during #coronavirus. Does the consumer experience match brick &amp; mortar &amp; across all platforms?
https://t.co/mERfbtA4lX",10.631907,3.326859
"#coronavirus, #Walmart's answer to beating online shopping. Sorry #Amazon, you can't touch this.",10.59644,3.2629554
"#coronavirus, Walmart's answer to beating online shopping. Sorry #Amazon, you can't touch this.",10.334056,3.2394867
Just read that #coronavirus stays alive on plastic for 2-3 days. Should we stop shopping online?,10.333487,3.0740263
"Since we have to be responsible and try to stay at home as much as we can during the coronavirus, why not treat yourself to some retail therapy and get 15% OFF when you spend£10.00 in our Etsy store? https://t.co/vNbZ2BdpF3 via @Etsy #stayathome #retailtherapy #coronavirus",10.707639,3.0173166
Do you have a brick and mortar store only? Now's a great time to add an online store for your business. #covid19 #coronavirus #payments #retail #ecommerce #merchantservices #merchantaccount #business #smallbiz https://t.co/z4JlGCn3Hk,10.704264,3.079147
"During COVID-19 Shopping online will seem so convenient but please try to shop local to help our communities. 

Also https://t.co/GN7NnE6aYv has next business day shipping for most canadiens (w/ no prime fees)",10.233738,2.678513
Go ahead and sign-up for PayPal. Makes shopping online and supporting small businesses that arent able to get foot traffic that much easier! #coronavirus,10.646119,3.1215372
